report_id,store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
8JUk,364217790691395293,114.23,39.78,205.03,0.00,8.20,32.05
8JUk,365248057836796932,0.00,0.00,0.00,4.48,23.90,118.99
8JUk,365966483790809317,12.08,23.96,142.07,0.00,0.00,0.00
8JUk,366798112457846142,11.13,23.89,141.17,0.00,0.00,0.00
8JUk,368620176942129465,7.90,23.91,137.01,0.00,0.00,3.03
8JUk,368651855887213968,8.23,13.91,68.53,0.00,0.00,0.00
8JUk,359546471817196481,0.00,10.84,116.50,57.67,13.15,13.15
8JUk,369967654160158140,58.97,23.93,23.93,0.00,0.00,0.00
8JUk,372627360915703657,0.00,0.00,0.00,2.52,23.88,141.83
8JUk,369417709220692060,0.00,0.00,0.00,6.88,23.80,141.83
8JUk,372637290007100155,0.00,0.00,0.00,5.12,23.94,141.58
8JUk,373391096058293211,58.40,23.97,142.46,0.00,0.00,0.00
8JUk,373571447391239213,0.00,0.00,0.00,1.23,23.80,141.81
8JUk,375435321316141378,0.00,0.00,0.00,17.97,19.68,116.08
8JUk,377170079141160150,8.00,23.90,141.16,0.00,0.00,0.00
8JUk,377173923063790609,5.20,23.83,23.83,0.00,0.00,0.00
8JUk,377405892650101043,8.92,23.99,142.48,0.00,0.00,0.00
8JUk,377793925363054037,3.92,23.82,141.25,0.00,0.00,0.00
8JUk,378275369516731770,5.42,23.81,119.27,0.00,0.00,0.00
8JUk,379247355729430398,12.70,23.99,142.16,0.00,0.00,0.00
8JUk,381263880267065967,3.88,23.89,142.30,0.00,0.00,0.00
8JUk,381694972482906461,10.00,24.67,145.28,0.00,0.00,0.00
8JUk,384478236891792577,13.30,19.86,138.21,0.00,4.07,4.07
8JUk,384761604712076794,8.60,23.94,132.22,0.00,0.00,10.01
8JUk,385760380005776549,7.78,12.85,90.02,0.00,0.00,0.00
8JUk,387175508055409146,0.00,0.00,0.00,9.72,23.91,142.02
8JUk,296459912806652740,11.35,23.97,142.36,0.00,0.00,0.00
